,notes
217,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1]]"
218,"[[11, 9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 3, 1, 1]]"
219,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
220,"[[12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 9, 7, 6, 5, 1], [9, 7, 6, 5, 1]]"
221,"[[12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
222,"[[9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1, 1, 1]]"
223,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 1]]"
224,"[[9, 8, 7, 5, 1], [9, 8, 7, 5, 1], [9, 7, 5, 1], [9, 7, 5, 3, 1], [9, 7, 5, 1], [9, 7, 6, 5, 1], [9, 7, 5, 1], [9, 7, 5, 4, 1]]"
225,"[[9, 8, 7, 5, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 6, 5, 4, 1], [11, 9, 7, 6, 5, 1], [11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1]]"
226,"[[12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1]]"
227,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 1, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
228,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 9, 7, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1]]"
229,"[[9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [10, 9, 8, 7, 6, 5, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1]]"
230,"[[12, 11, 9, 7, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1]]"
231,"[[11, 10, 9, 8, 7, 5, 4, 3, 1, 1, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 1]]"
232,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
233,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
234,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1, 1], [9, 8, 7, 6, 5, 1], [11, 9, 8, 7, 6, 5, 1]]"
235,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
236,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [12, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1]]"
237,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 5, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1]]"
238,"[[9, 7, 5, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
239,"[[12, 11, 10, 9, 7, 5, 4, 1], [12, 11, 9, 7, 5, 1], [12, 11, 9, 8, 7, 6, 5, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1, 1], [9, 7, 5, 4, 3, 2, 1]]"
240,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 10, 9, 5, 3, 1], [12, 11, 9, 7, 5, 3, 1]]"
241,"[[9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1]]"
242,"[[9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 2, 1], [9, 7, 6, 5, 3, 2, 1]]"
243,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 9, 8, 7, 5, 4, 3, 2, 1, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1]]"
244,"[[11, 9, 8, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1], [9, 8, 7, 6, 5, 1], [11, 9, 8, 7, 6, 5, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 7, 6, 5, 1]]"
245,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
246,"[[12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 5, 4, 3, 1, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
247,"[[12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 1]]"
248,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1]]"
249,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1]]"
250,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1]]"
251,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1]]"
252,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 1], [12, 11, 10, 9, 7, 5, 4, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1]]"
253,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1], [12, 11, 10, 9, 5, 4, 3, 1]]"
254,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 9, 8, 7, 5, 4, 3, 1], [12, 9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 2, 1], [10, 9, 7, 6, 5, 4, 3, 2, 1]]"
255,"[[9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 1]]"
256,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1]]"
257,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 1]]"
258,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1]]"
259,"[[9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1]]"
260,"[[11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 9, 8, 7, 6, 5, 4, 3, 2, 1, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1]]"
261,"[[12, 11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 5, 4, 3, 2, 1], [9, 8, 5, 3, 2, 1]]"
262,"[[11, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1]]"
263,"[[9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1, 1], [11, 9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
264,"[[11, 9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 1], [10, 9, 8, 7, 5, 1]]"
265,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 1], [12, 11, 9, 7, 1], [12, 11, 9, 1], [12, 11, 9, 5, 1], [11, 9, 5, 1]]"
266,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1]]"
267,"[[11, 9, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 7, 6, 5, 3, 1]]"
268,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 1], [11, 10, 9, 8, 7, 5, 1], [11, 10, 9, 8, 7, 5, 3, 1]]"
269,"[[11, 9, 5, 4, 3, 1], [11, 10, 9, 8, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1]]"
270,"[[12, 9, 9, 8, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1]]"
271,"[[9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1]]"
272,"[[12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 2, 1]]"
273,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
274,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1]]"
275,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 1], [11, 9, 8, 7, 6, 5, 1]]"
276,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 3, 1], [12, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
277,"[[9, 7, 5, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
278,"[[12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 5, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1]]"
279,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1]]"
280,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1]]"
281,"[[12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1]]"
282,"[[9, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1, 1], [11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
283,"[[11, 10, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 1], [12, 11, 9, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
284,"[[12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1]]"
285,"[[12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 1]]"
286,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 5, 4, 3, 1], [12, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
287,"[[10, 9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
